Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\THE_FIRST\THE_FIRST\Project Outputs for Free Documents\Pick Place\Pick Place for THE_FIRST.csv

========================================================================================================================
File Design Information:

Date:       15-05-25
Time:       19:51
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U2","P0082_BOTTOMMOUNT","TopLayer","MODULE_P0082_BOTTOMMOUNT","114.3620","58.0310","180","Cyclone IV E FPGA DE0-Nano EP4CE22 CycloneÂ® IV E FPGA Evaluation Board"
"J42","M20-9990246","TopLayer","FP-M20-9990246-MFG","129.9210","97.6630","180","CONN HEADER VERT 2POS 2.54MM"
"J37","CON-SMA-EDGE-S","TopLayer","FP-CON-SMA-EDGE-S-MFG","137.0330","3.7415","180","CONN SMA JACK STR EDGE MNT"
"U8","SN74AXC2T245RSWR","TopLayer","FP-RSW0010A-MFG","136.6330","14.2620","180","DUAL-BIT, 2-DIR PIN DUAL-SUPPLY"
"U10","SN74AXC4T245RSVR","TopLayer","FP-RSV0016A-MFG","112.0520","13.5160","0","IC TRANSLATION TXRX 3.6V 16UQFN"
"R8","RC0603FR-0710KL","TopLayer","FP-RC0603-0_55-IPC_C","112.1410","17.7800","90","RES 10K OHM 1% 1/10W 0603"
"R6","RC0603FR-0710KL","TopLayer","FP-RC0603-0_55-IPC_C","110.1090","17.8217","270","RES 10K OHM 1% 1/10W 0603"
"C11","C0805C104K4RAC","TopLayer","FP-C0805C-DN-MFG","107.5810","16.6370","180","C0805 0.10 µF X7R 30ppm/°C 10.00% 16 V"
"C10","C0805C104K4RAC","TopLayer","FP-C0805C-DN-MFG","107.5690","11.4300","180","C0805 0.10 µF X7R 30ppm/°C 10.00% 16 V"
"C9","CAP 1uF 16V 0805(2012)","TopLayer","CAPC0805(2012)100_N","107.7070","9.1440","180","CAP 1uF 16V ±10% 0805 (2012 Metric) Thickness 1mm SMD"
"C8","CAP 1uF 16V 0805(2012)","TopLayer","CAPC0805(2012)100_N","107.6850","14.0970","180","CAP 1uF 16V ±10% 0805 (2012 Metric) Thickness 1mm SMD"
"J38","CON-SMA-EDGE-S","TopLayer","FP-CON-SMA-EDGE-S-MFG","102.0500","3.7415","180","CONN SMA JACK STR EDGE MNT"
"J12","CON-SMA-EDGE-S","TopLayer","FP-CON-SMA-EDGE-S-MFG","112.3950","3.7415","180","CONN SMA JACK STR EDGE MNT"
"J36","CON-SMA-EDGE-S","TopLayer","FP-CON-SMA-EDGE-S-MFG","123.1900","3.7415","180","CONN SMA JACK STR EDGE MNT"
"U6","RAA214023GNP#HCA","TopLayer","L20_3_5x3_5_MFG","124.6030","14.1210","90","LDO Voltage Regulators 2A Low Noise LDO, 20 Lead 3.5x3.5 QFN (NiPdAu-Ag lead finish"
"R7","RC0603FR-0710KL","TopLayer","FP-RC0603-0_55-IPC_C","140.2497","14.2240","180","RES 10K OHM 1% 1/10W 0603"
"R5","RC1005F103CS","TopLayer","FP-RC1005-IPC_B","124.8810","10.4696","270","Res Thick Film 0402 10kO 1% 0.063W ±100ppm/°C Molded SMD T/R"
"C15","C0805C104K4RAC","TopLayer","FP-C0805C-DN-MFG","133.0960","15.4940","180","C0805 0.10 µF X7R 30ppm/°C 10.00% 16 V"
"C14","C0805C104K4RAC","TopLayer","FP-C0805C-DN-MFG","133.1080","12.9540","180","C0805 0.10 µF X7R 30ppm/°C 10.00% 16 V"
"C13","CAP 1uF 16V 0805(2012)","TopLayer","CAPC0805(2012)100_N","133.0960","17.7800","180","CAP 1uF 16V ±10% 0805 (2012 Metric) Thickness 1mm SMD"
"C12","CAP 1uF 16V 0805(2012)","TopLayer","CAPC0805(2012)100_N","133.2270","9.9060","180","CAP 1uF 16V ±10% 0805 (2012 Metric) Thickness 1mm SMD"
"C7","C0805C104K4RAC","TopLayer","FP-C0805C-DN-MFG","125.3770","17.7880","0","C0805 0.10 µF X7R 30ppm/°C 10.00% 16 V"
"C6","CL21A106KOQNNNG","TopLayer","FP-CL21-IPC_C","118.2370","15.6210","270","CL21 Series 0805 10uF 16V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor"
"C5","0.1 uF C0805C104K4RAC","TopLayer","FP-C0805C-DN-MFG","120.7770","15.6210","270","C0805 0.10 µF X7R 30ppm/°C 10.00% 16 V
C0805C104K4RAC"
"C4","C0805C104K4RAC","TopLayer","FP-C0805C-DN-MFG","121.0310","12.5730","90","C0805 0.10 µF X7R 30ppm/°C 10.00% 16 V"
"C3","CL21A226MOCLRNC","TopLayer","FP-CL21-IPC_C","118.4910","12.4460","90","CL21 Series 0805 22uF 16V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor"
"R4","ERA-2AEB222X","TopLayer","FP-ERA2A-MFG","66.7975","78.9940","0","RES SMD 2.2K OHM 0.1% 1/16W 0402"
"R3","ERA-2AEB222X","TopLayer","FP-ERA2A-MFG","84.1965","47.4980","0","RES SMD 2.2K OHM 0.1% 1/16W 0402"
"R2","ERA-2AEB222X","TopLayer","FP-ERA2A-MFG","16.3830","77.3430","90","RES SMD 2.2K OHM 0.1% 1/16W 0402"
"R1","ERA-2AEB222X","TopLayer","FP-ERA2A-MFG","38.2270","9.2710","270","RES SMD 2.2K OHM 0.1% 1/16W 0402"
"J35","M20-9990246","TopLayer","FP-M20-9990246-MFG","42.4180","8.6360","180","CONN HEADER VERT 2POS 2.54MM"
"J34","M20-9990246","TopLayer","FP-M20-9990246-MFG","11.8110","77.8510","0","CONN HEADER VERT 2POS 2.54MM"
"R4 10kH","RC1005F103CS","TopLayer","FP-RC1005-IPC_B","5.9690","61.5474","90","Res Thick Film 0402 10kO 1% 0.063W ±100ppm/°C Molded SMD T/R"
"R4 10kG","RC1005F103CS","TopLayer","FP-RC1005-IPC_B","46.2280","62.0554","90","Res Thick Film 0402 10kO 1% 0.063W ±100ppm/°C Molded SMD T/R"
"R4 10kF","RC1005F103CS","TopLayer","FP-RC1005-IPC_B","20.1930","61.9284","90","Res Thick Film 0402 10kO 1% 0.063W ±100ppm/°C Molded SMD T/R"
"R4 10kE","RC1005F103CS","TopLayer","FP-RC1005-IPC_B","32.9170","62.0554","90","Res Thick Film 0402 10kO 1% 0.063W ±100ppm/°C Molded SMD T/R"
"R4 10kD","RC1005F103CS","TopLayer","FP-RC1005-IPC_B","57.6580","23.1572","270","Res Thick Film 0402 10kO 1% 0.063W ±100ppm/°C Molded SMD T/R"
"R4 10kC","RC1005F103CS","TopLayer","FP-RC1005-IPC_B","16.6370","22.7330","270","Res Thick Film 0402 10kO 1% 0.063W ±100ppm/°C Molded SMD T/R"
"R4 10kB","RC1005F103CS","TopLayer","FP-RC1005-IPC_B","43.5610","22.9870","270","Res Thick Film 0402 10kO 1% 0.063W ±100ppm/°C Molded SMD T/R"
"R4 10kA","RC1005F103CS","TopLayer","FP-RC1005-IPC_B","30.4800","23.1934","270","Res Thick Film 0402 10kO 1% 0.063W ±100ppm/°C Molded SMD T/R"
"R1 10kB","RC1005F103CS","TopLayer","FP-RC1005-IPC_B","68.0720","23.7966","270","Res Thick Film 0402 10kO 1% 0.063W ±100ppm/°C Molded SMD T/R"
"R1 10kA","RC1005F103CS","TopLayer","FP-RC1005-IPC_B","59.8170","83.0580","270","Res Thick Film 0402 10kO 1% 0.063W ±100ppm/°C Molded SMD T/R"
"U5B","RAA214023GNP#HCA","TopLayer","L20_3_5x3_5_MFG","67.6003","27.1325","90","LDO Voltage Regulators 2A Low Noise LDO, 20 Lead 3.5x3.5 QFN (NiPdAu-Ag lead finish"
"U5A","RAA214023GNP#HCA","TopLayer","L20_3_5x3_5_MFG","55.3552","86.4508","90","LDO Voltage Regulators 2A Low Noise LDO, 20 Lead 3.5x3.5 QFN (NiPdAu-Ag lead finish"
"C8 0.1uFB","C0805C104K4RAC","TopLayer","FP-C0805C-DN-MFG","69.0093","30.9163","0","C0805 0.10 µF X7R 30ppm/°C 10.00% 16 V"
"C8 0.1uFA","C0805C104K4RAC","TopLayer","FP-C0805C-DN-MFG","56.7642","90.0068","0","C0805 0.10 µF X7R 30ppm/°C 10.00% 16 V"
"C7 0.1uFB","0.1 uF C0805C104K4RAC","TopLayer","FP-C0805C-DN-MFG","64.0080","28.9560","270","C0805 0.10 µF X7R 30ppm/°C 10.00% 16 V
C0805C104K4RAC"
"C7 0.1uFA","0.1 uF C0805C104K4RAC","TopLayer","FP-C0805C-DN-MFG","48.7512","88.3438","270","C0805 0.10 µF X7R 30ppm/°C 10.00% 16 V
C0805C104K4RAC"
"C5 22uFB","CL21A226MOCLRNC","TopLayer","FP-CL21-IPC_C","63.9173","25.7093","90","CL21 Series 0805 22uF 16V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor"
"C5 22uFA","CL21A226MOCLRNC","TopLayer","FP-CL21-IPC_C","51.6722","84.7998","90","CL21 Series 0805 22uF 16V ±20% Tolerance X5R Multilayer Ceramic Chip Capacitor"
"C4 10uFB","CL21A106KOQNNNG","TopLayer","FP-CL21-IPC_C","61.4680","28.8290","270","CL21 Series 0805 10uF 16V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor"
"C4 10uFA","CL21A106KOQNNNG","TopLayer","FP-CL21-IPC_C","51.6722","88.3558","270","CL21 Series 0805 10uF 16V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor"
"C3 0.1uFB","C0805C104K4RAC","TopLayer","FP-C0805C-DN-MFG","61.1233","25.7093","90","C0805 0.10 µF X7R 30ppm/°C 10.00% 16 V"
"C3 0.1uFA","C0805C104K4RAC","TopLayer","FP-C0805C-DN-MFG","48.8782","84.7998","90","C0805 0.10 µF X7R 30ppm/°C 10.00% 16 V"
"J13","M20-9990246","TopLayer","FP-M20-9990246-MFG","72.2630","65.9130","0","CONN HEADER VERT 2POS 2.54MM"
"J33","M20-9990246","TopLayer","FP-M20-9990246-MFG","57.9120","40.7670","90","CONN HEADER VERT 2POS 2.54MM"
